แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
ม้าและลา 	ถูกนำมา	ช่วยลากรถ	ช่วยการงด	ใช้น้ำมัน	ปันแบบอย่าง	Horses and donkeys are used to drag carts for the disuse of oil as an exemplary way.
ศัตรูร้าย	เป็นครูได้	อย่ามองข้าม	เฝ้าติดตาม	เล่ห์กลใด	ใช้เหนือเรา	Bad enemies may be our teachers. Don't overlook them. Keep following what better tactics they use with us.
เรียนสิ่งใด	ใช้ความคิด	เป็นนิสัย	คิดสิ่งใด	แต่ไม่เรียน	ย่อมเสื่อมถอย	"Learn things by using ideas habitually.If we think about things but we don't learn them, we have to be worse and worse."
กฎหมายไทย	กลับยิ่งไร้	มาตรฐาน	คนชั่วพาล	เต็มบ้านเมือง	ก่อเรื่องร้าย	Our Thai law is more and more nonstandard. Villainous people have been prevalent causing dreadful things.
รักษาตน	ให้ดีกว่า	รักษาใคร	ใครที่ไหน	จะรักเรา	เท่าตัวเอง	Remedy ourselves better than others.Who loves us as much as we love ourselves?
เราหวังได้	อย่าหมายหวัง	ให้ดีหมด	อย่ารันทด	แค่อดทน	ผลอาจดี	"We can hope but don't hope for all good things Don't be disheartened, just be patient and the results may be good."
ชีวิตเรา	เป็นของเรา	จงเข้าใจ	อย่ารอใคร	กำหนดให้	แทบทุกอย่าง	Our life belongs to us. Understand this and don't wait for anyone to assign everything to us.
ถ้าระเริง	สิ่งบันเทิง	จนเหลิงลม	กลับยิ่งจม	มายาไป	ไม่มองตน	"If fascinated by entertaining things until we forget ourselves, we will drown in illusion and loose the sight of ourselves."
ครูผู้เฒ่า	สอนเราไว้	ให้ฟังตาม	จับเลือกความ	มีเหตุผล	ดลใจทำ	Elderly teachers can teach us many things. We should capture only rational and inspirable messages.
พวกเครื่องใช้	เลือกเก็บไว้	ใช้งานได้	แต่อย่าหมาย	เฟอร์นิเจอร์ 	ฟุ้งเฟ้อหรู	We choose to keep only workable utensils Don't expect to collect luxurious and extravagant furniture.
ทางข้างหน้า	ถ้าไม่กลัว	ก้าวหน้าได้	เหมือนคนตาย	ถ้าหมายหยุด	อยู่กับที่	"If we don't fear the onward ways, we can make progress. We are like dead ones if we have a cessation of life."
ลูกคนจน	บ้างดิ้นรน	จนได้ดี	ลูกเศรษฐี	พวกผู้ดี	บ้างตกต่ำ	Some poor people have children who can fight for their successful life while some wealthy people have children who become poorer
ทำงานใด	ถ้าไม่ถูก	ทางวิธี	สิ่งผลดี	ย่อมเสียไป	ไร้ประโยชน์	"If we do work in the wrong ways, The boons and benefits will be lost."
อย่ารีบร้อน	ก่อนกระทำ	ความพร้อมเพียบ	ควรเปรียบเทียบ	"ผลเสีย,ดี"	ที่เรารอ	Don't be hasty. We should be well – prepared before understanding things. We should weigh up the pros and cons waiting for us.
อย่ารอใคร	ให้กำลังใจ	ไปทุกที่	พวกเขามี	ชีวิตต้อง	สู้เหมือนกัน	"Don't wait for anyone to encourage us everywhere, for they also have to struggle in life."
เพื่อนที่ดี	ที่สุดคือ	ตัวเราเอง	ยามวังเวง	เราเองแหล่ะ	ปลอบใจตน	Our best friends are ourselves because we can console ourselves when solitary.
ความคิดเห็น	ทุกประเด็น	ย่อมต่างกัน	แต่ในฝัน	คิดเหมือนกัน	ได้ทุกอย่าง	Opinions about every problem are different but in the dream they can be all the same.
