แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
ม้าและลา ,ถูกนำมา,ช่วยลากรถ,ช่วยการงด,ใช้น้ำมัน,ปันแบบอย่าง
ศัตรูร้าย,เป็นครูได้,อย่ามองข้าม,เฝ้าติดตาม,เล่ห์กลใด,ใช้เหนือเรา
เรียนสิ่งใด,ใช้ความคิด,เป็นนิสัย,คิดสิ่งใด,แต่ไม่เรียน,ย่อมเสื่อมถอย
กฎหมายไทย,กลับยิ่งไร้,มาตรฐาน,คนชั่วพาล,เต็มบ้านเมือง,ก่อเรื่องร้าย
รักษาตน,ให้ดีกว่า,รักษาใคร,ใครที่ไหน,จะรักเรา,เท่าตัวเอง
เราหวังได้,อย่าหมายหวัง,ให้ดีหมด,อย่ารันทด,แค่อดทน,ผลอาจดี
ชีวิตเรา,เป็นของเรา,จงเข้าใจ,อย่ารอใคร,กำหนดให้,แทบทุกอย่าง
ถ้าระเริง,สิ่งบันเทิง,จนเหลิงลม,กลับยิ่งจม,มายาไป,ไม่มองตน
ครูผู้เฒ่า,สอนเราไว้,ให้ฟังตาม,จับเลือกความ,มีเหตุผล,ดลใจทำ
พวกเครื่องใช้,เลือกเก็บไว้,ใช้งานได้,แต่อย่าหมาย,เฟอร์นิเจอร์ ,ฟุ้งเฟ้อหรู
ทางข้างหน้า,ถ้าไม่กลัว,ก้าวหน้าได้,เหมือนคนตาย,ถ้าหมายหยุด,อยู่กับที่
ลูกคนจน,บ้างดิ้นรน,จนได้ดี,ลูกเศรษฐี,พวกผู้ดี,บ้างตกต่ำ
ทำงานใด,ถ้าไม่ถูก,ทางวิธี,สิ่งผลดี,ย่อมเสียไป,ไร้ประโยชน์
อย่ารีบร้อน,ก่อนกระทำ,ความพร้อมเพียบ,ควรเปรียบเทียบ,ผลเสีย ดี,ที่เรารอ
อย่ารอใคร,ให้กำลังใจ,ไปทุกที่,พวกเขามี,ชีวิตต้อง,สู้เหมือนกัน
เพื่อนที่ดี,ที่สุดคือ,ตัวเราเอง,ยามวังเวง,เราเองแหล่ะ,ปลอบใจตน
ความคิดเห็น,ทุกประเด็น,ย่อมต่างกัน,แต่ในฝัน,คิดเหมือนกัน,ได้ทุกอย่าง
ปฐพี,ที่เสมอกัน,นั้นไม่มี,ทุกชีวี,บนโลกนี้,ก็เช่นกัน
ใจมนุษย์,น่ากลัวสุด,ในโลกนี้,จิตย่อมมี,กี่แสนชั้น,นั้นสุดหยั่ง
ตาอ่านไป,แต่ไม่คิด,ผิดวิสัย,กินอะไร,แต่ไม่ย่อย,ไร้ผลดี
อารยชน,ในอดีต,ขูดรีดคน,ทุกแห่งหน,ถูกรุกล่า,มาเป็นทาส
คลั่งศรัทธา,ล้วนนำมา,กี่สงคราม,ฆ่าคุกคาม,ตามหัวเหมือง,เลือดเนืองนอง
รู้น้อยนิด,ตัดตัวไป,ไร้ผลดี,เพราะย่อมมี,คนดูแคลน,แสนเจ็บปวด
เหตุเดียวกัน,บางท่านได้,คำสรรเสริญ,กลับเชื้อเชิญ,คำนินทา,ด่าอีกท่าน
ตรงสิ่งนี้,สุดแสนดี,สำหรับเรา,ดูพวกเขา,กลับอับเฉา,เพราะสิ่งนี้
ยิ่งกินมาก,ความอยากนั้น,ทำลายตน,กลายเป็นคน,ไม่รักตน,อย่างแท้จริง
พวกใจกล้า,หาได้กลัว,เหตุแรงร้าย,ไม่ตื่นง่าย,เพราะได้ทำ,จิตหนักแน่น
แหล่งอุดม,ช่วยเพาะบ่ม,ความรักกัน,แหล่งเจริญนั้น,พวกนักปราชญ์,มีดาษดา
ความรู้ใด,ไหนจะวิ่ง,มาสมอง,จงมุ่งปอง,แสวงหา,มาใส่ตน
